,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Dodge Ave & Mulford St,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,3,5,4,5,4,0,1,3,0
Dorchester Ave & 63rd St,0,0,0,0,0,0,1,0,1,4,3,5,3,8,13,5,10,6,5,3,1,1,0,1
Drake Ave & Montrose Ave,3,1,0,0,2,0,3,3,8,4,3,14,7,6,9,19,12,14,16,9,4,2,2,6
DuSable Lake Shore Dr & Diversey Pkwy,10,1,9,2,2,18,39,66,108,93,111,171,197,187,176,199,230,268,267,183,175,74,39,21
DuSable Lake Shore Dr & Monroe St,59,38,12,4,5,18,35,47,83,146,290,338,501,521,493,481,515,548,462,307,225,160,116,83
Dusable Harbor,27,2,4,4,1,6,13,36,55,98,87,157,226,229,294,256,291,282,224,208,108,89,30,18
Eastlake Ter & Rogers Ave,0,2,0,0,0,11,8,18,30,26,20,17,19,14,19,18,13,32,18,14,11,4,12,1
Eberhart Ave & 91st St,0,0,0,1,2,4,0,0,1,2,0,1,3,0,0,0,1,3,2,1,0,0,0,0
Eggleston Ave & 92nd St,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,2,0,3,0,0
Elizabeth (May) St & Fulton St,17,5,3,4,0,1,1,25,31,20,22,41,44,21,24,53,95,66,32,28,21,13,16,7
Elizabeth St & 47th St,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
Elizabeth St & 59th St,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0
Elizabeth St & 92nd St,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,4,0,10,0,0,1,0,0
Ellis Ave & 53rd St,4,3,0,0,0,9,13,30,23,40,38,45,50,37,37,48,43,57,65,40,24,18,7,9
Ellis Ave & 55th St,31,6,2,1,3,2,12,27,46,126,81,119,129,157,132,167,187,175,148,141,126,83,77,35
Ellis Ave & 58th St,19,5,1,0,0,0,0,7,6,44,70,89,94,99,116,139,129,113,58,40,31,18,22,15
Ellis Ave & 60th St,51,21,13,4,4,49,15,68,117,243,139,150,234,211,209,199,220,259,209,259,210,135,95,60
Ellis Ave & 83rd St,0,0,0,0,0,0,0,3,2,0,2,0,0,2,2,3,0,1,1,1,1,0,0,0
Evans Ave & 75th St,0,0,0,0,0,0,0,1,2,1,0,5,5,2,5,1,1,1,1,0,0,0,1,0
Evanston Civic Center,1,0,1,0,0,1,1,2,16,12,17,6,16,13,10,10,10,19,7,3,3,4,4,0
Ewing Ave & 105th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewing Ave & 106th St,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ewing Ave & 99th St,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exchange Ave & 79th St,0,0,0,1,1,1,0,0,0,2,3,3,1,2,1,1,0,0,0,1,4,3,1,0
Field Blvd & South Water St,28,13,6,3,3,16,43,58,67,59,77,54,62,64,74,65,115,163,146,85,51,50,34,26
Fort Dearborn Dr & 31st St,25,9,1,0,0,14,49,33,48,32,56,67,98,60,92,83,150,127,177,146,77,30,42,8
Francisco Ave & Hollywood Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0
Francisco Ave & Montrose Ave,0,0,0,0,1,0,0,5,4,6,3,6,9,3,6,6,5,10,9,6,3,0,0,1
Franklin St & Adams St (Temp),10,2,3,0,0,13,18,36,57,37,34,68,85,74,66,82,139,114,58,25,18,35,11,10
Franklin St & Chicago Ave,37,18,11,9,2,13,58,85,118,82,72,71,83,78,65,80,118,180,133,112,65,56,41,18
Franklin St & Lake St,17,11,1,1,5,6,47,66,44,37,53,73,104,121,87,148,298,133,70,58,53,50,38,12
Green St & 103rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Greenwood Ave & 97th St,0,0,0,1,0,0,0,0,1,2,0,0,0,1,2,1,1,1,2,1,0,0,0,0
Hale Ave & 107th St,0,0,0,0,0,0,0,0,1,0,2,1,1,5,2,2,0,3,0,2,1,1,0,0
Halsted St & 104th St,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,4,0,3,0,0,1,1
Halsted St & 111th St,1,0,0,0,0,0,0,1,4,0,0,0,0,1,2,2,0,2,3,1,0,0,1,1
Halsted St & 18th St,8,1,13,2,0,7,10,31,28,23,17,16,24,20,25,31,34,51,28,32,17,11,13,14
Halsted St & 21st St,7,8,17,5,5,1,3,3,5,6,8,11,7,13,11,10,11,20,17,15,12,10,8,18
