,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Daley Center Plaza,11,9,1,10,4,15,35,85,195,69,58,67,66,74,81,113,113,144,124,82,40,26,16,17
Damen Ave & 47th St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Damen Ave & 59th St,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,3,8,0
Damen Ave & 74th St,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,5,2,2,0,3,0,2
Damen Ave & Clybourn Ave,11,3,3,2,0,10,16,7,12,21,31,26,26,19,29,29,38,58,58,43,18,27,18,10
Damen Ave & Grand Ave,12,6,2,1,0,1,15,14,17,12,12,19,18,33,34,40,83,85,63,34,32,32,19,9
Dearborn St & Van Buren St,16,5,2,3,6,0,10,26,26,38,39,35,57,40,39,39,58,71,71,31,42,27,34,25
Dodge Ave & Main St,0,0,0,5,7,0,0,0,0,3,2,0,5,1,2,13,7,9,5,2,3,0,2,1
Dodge Ave & Mulford St,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,6,4,4,3,4,0,1,3,1
Dorchester Ave & 63rd St,0,0,0,0,0,0,0,0,2,4,5,11,6,6,6,5,7,6,4,9,2,2,6,0
Drake Ave & Montrose Ave,1,2,1,4,0,2,2,3,12,1,2,5,5,3,5,5,7,17,13,19,9,9,3,1
DuSable Lake Shore Dr & Diversey Pkwy,46,24,22,3,0,13,23,76,64,70,94,141,156,153,216,227,219,298,287,196,163,91,67,42
DuSable Lake Shore Dr & Monroe St,72,11,12,7,4,23,57,45,76,113,224,333,433,491,540,492,483,624,452,315,219,142,112,65
Dusable Harbor,17,4,6,1,1,10,21,49,47,50,68,164,207,286,311,239,281,319,244,188,112,61,37,18
Eastlake Ter & Rogers Ave,6,3,2,0,1,0,0,0,10,3,3,17,9,15,11,19,16,57,24,35,29,19,15,6
Eberhart Ave & 91st St,0,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,2,3,2,0,1,1,1,0
Eggleston Ave & 92nd St,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,0,1,0
Elizabeth (May) St & Fulton St,5,3,0,0,0,3,37,69,66,43,25,31,35,22,23,23,29,39,45,30,20,23,16,11
Elizabeth St & 47th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Elizabeth St & 59th St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,1,0,1
Elizabeth St & 92nd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,8,6,1,4,2,0
Ellis Ave & 53rd St,11,3,1,0,1,1,2,2,7,21,15,27,28,33,51,44,70,72,63,62,47,27,16,16
Ellis Ave & 55th St,17,11,2,2,2,46,21,54,73,148,122,130,172,135,121,143,168,166,142,146,110,75,53,28
Ellis Ave & 58th St,5,14,2,1,3,0,39,30,94,161,91,79,89,128,58,68,73,52,38,39,22,6,21,27
Ellis Ave & 60th St,69,32,6,5,7,6,21,41,67,151,124,179,229,224,199,245,254,241,227,250,195,159,182,78
Ellis Ave & 83rd St,1,0,0,0,0,0,0,1,2,1,1,0,0,1,2,3,2,1,1,1,1,1,1,0
Evans Ave & 75th St,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,2,2,4
Evanston Civic Center,0,4,2,1,0,1,1,1,3,9,3,5,10,5,13,11,8,14,14,10,6,3,4,0
Ewing Ave & 105th St,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewing Ave & 106th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewing Ave & 99th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Exchange Ave & 79th St,0,0,0,0,2,1,0,1,0,1,5,2,1,0,1,1,0,0,0,1,3,1,3,1
Field Blvd & South Water St,28,15,9,5,0,1,7,30,37,35,44,47,69,87,69,120,121,182,127,116,84,63,39,35
Fort Dearborn Dr & 31st St,14,10,4,6,0,22,30,44,34,32,61,55,84,73,85,106,127,149,142,162,83,39,52,18
Francisco Ave & Hollywood Ave,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
Francisco Ave & Montrose Ave,5,0,0,0,0,0,0,1,2,3,3,1,3,13,12,9,7,10,6,9,3,7,5,2
Franklin St & Adams St (Temp),4,2,3,0,2,30,56,153,104,45,28,36,54,68,59,37,67,64,41,26,20,34,3,16
Franklin St & Chicago Ave,26,21,13,0,7,10,72,69,113,59,65,69,79,60,74,78,145,155,145,112,53,52,59,25
Franklin St & Lake St,3,14,7,4,14,16,57,202,245,52,39,60,76,113,66,74,88,80,74,62,48,45,26,20
Green St & 103rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Greenwood Ave & 97th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0
Hale Ave & 107th St,0,0,0,1,0,0,0,1,0,1,0,2,0,3,2,1,2,1,4,2,3,2,0,0
Halsted St & 104th St,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,2,4,2,0,1,0,0,0,0
Halsted St & 111th St,2,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,2,2,3,0,1,1,0,1
Halsted St & 18th St,28,5,6,3,1,2,5,4,8,13,22,18,12,13,17,29,40,51,41,40,19,26,26,24
Halsted St & 21st St,8,2,0,1,2,0,1,1,3,5,12,7,13,7,6,13,20,29,28,27,17,10,11,4
Halsted St & 37th St,5,1,1,0,2,0,1,0,4,6,3,0,5,6,1,6,10,13,9,6,5,2,0,2
